Element,MassNumber,HalfLife
Sb,125,2.758 y
Sb,124,60.20 d
Sb,122,2.72 d
Sb,120,15.89 min
Sb,119,38.2 h
Sb,118,3.6 min
Sb,116,60 s
Sb,115,32 min
Sb,114,3.49 min
Sb,113,6.67 min
Sb,111,2.55 min
Sb,110,1.44 min
Sb,109,1.08 min
Sn,123,129.2 d
Sn,121,27.0 h
Sn,119,293 d
Sn,113,115 d
Sn,111,35.3 min
Sn,110,4.11 h
Sn,109,18.0 min
Sn,108,10.3 min
Sn,107,2.9 min
Sn,106,115 s
In,119,2.42 min
In,118,2.4 min
In,117,43.2 min 
In,114,71.9 s
In,112,14.88 min
In,111,2.80 d
In,110,4.9 h
In,109,4.159 h
In,108,58 min
In,107,32.4 min
In,106,6.23 min
In,105,5.07 min
Cd,119,2.69 min
Cd,118,50.3 min
Cd,117,2.503 h
Cd,115,53.4 h
Cd,109,461.98 d
Cd,107,6.52 h
Cd,105,55.4 min
Cd,104,57.8 min
Ag,117,72.8 s
Ag,116,3.83 min
Ag,115,20 min
Ag,113,5.37 h
Ag,112,3.15 h
Ag,111,7.421 d
Ag,108,2.39 min
Ag,106,23.96 min
Ag,105,41.29 d
Ag,104,69.3 min
Ag,103,65.8 min
Pd,114,2.42 min
Pd,113,89 s
Pd,112,21.027 h
Pd,111,23.6 min
Pd,109,13.437 h
Pd,103,17 d
Rh,109,80.8 s
Rh,107,21.7 min
Rh,105,35.341 h
Rh,102,207.3 d
Rh,101,4.07 y
Ru,108,4.55 min
Ru,107,3.73 min
Ru,106,371.8 d
Ru,105,4.44 h
Ru,103,39.247 d
